"run","mode","score","items","orders","idle","rounds","first_score_round","blocked_avg","wait_no_assign_avg","no_assign_bots_avg","assignment_churn_avg","secondary_used_avg","primary_miss_avg","mean_target_dist_avg","dropoff_zone_density_avg","corridor_density_avg"
"run_20260308_041445","committed","49","24","5","1376","300","31","1,08","3,8433","3,8433","0,34","0","22,11","2,6713","0,1763","0,1253"
"run_20260308_041609","committed","13","8","1","614","300","33","0,23","1,9167","1,9167","0,07","0","25,0927","4,1543","0,0693","0,1467"
"run_20260308_041751","optimistic","3","3","0","2620","300","30","1,19","7,6633","7,6633","0,89","0","110,4433","3,4183","0,004","0,1053"
"run_20260308_041915","optimistic","3","3","0","2620","300","30","1,19","7,6633","7,6633","0,89","0","110,4433","3,4183","0,004","0,1053"
